% Y. Wang et al. The Holocene Asian Monsoon: Links to Solar Changes 
%     and North Atlantic Climate. Science, 2005. DOI: 10.1126/science.1106296

% NB. Age is in kilo-years before 1950.

%Age	d18O
6.354	-8.240
6.357	-8.500
6.361	-8.430
6.365	-8.540
6.368	-8.500
6.372	-8.510
6.375	-8.540
6.379	-8.490
6.382	-8.400
6.386	-8.360
6.390	-8.340
6.393	-8.320
6.397	-8.450
6.400	-8.400
6.404	-8.400
6.408	-8.330
6.411	-8.390
6.415	-8.470
6.418	-8.440
6.422	-8.620
6.426	-8.620
6.429	-8.600
6.433	-8.620
6.436	-8.580
6.440	-8.600
6.443	-8.520
6.447	-8.530
6.451	-8.520
6.454	-8.550
6.458	-8.410
6.461	-8.430
6.465	-8.740
6.469	-8.690
6.472	-8.640
6.476	-8.580
6.479	-8.550
6.483	-8.680
6.486	-8.780
6.490	-8.620
6.494	-8.620
6.497	-8.600
6.501	-8.660
6.504	-8.640
6.508	-8.610
6.512	-8.600
6.515	-8.640
6.519	-8.630
6.522	-8.650
6.526	-8.600
6.529	-8.650
6.533	-8.370
6.537	-8.600
6.540	-8.580
6.544	-8.570
6.547	-8.410
6.551	-8.410
6.555	-8.680
6.558	-8.600
6.562	-8.600
6.565	-8.540
6.569	-8.560
6.572	-8.470
6.576	-8.600
6.580	-8.590
6.583	-8.600
6.587	-8.630
6.590	-8.510
6.594	-8.570
6.598	-8.650
6.602	-8.590
6.607	-8.630
6.611	-8.680
6.615	-8.610
6.619	-8.440
6.623	-8.490
6.628	-8.600
6.632	-8.220
6.636	-8.460
6.640	-8.660
6.644	-8.790
6.649	-8.720
6.653	-8.700
6.657	-8.640
6.661	-8.770
6.665	-8.740
6.670	-8.670
6.674	-8.650
6.678	-8.510
6.682	-8.510
6.686	-8.330
6.691	-8.560
6.695	-8.570
6.699	-8.700
6.703	-8.530
6.707	-8.620
6.712	-8.540
6.716	-8.430
6.720	-8.440
6.724	-8.510
6.728	-8.520
6.733	-8.780
6.737	-8.430
6.741	-8.340
6.745	-8.480
6.749	-8.440
6.754	-8.260
6.758	-8.440
6.762	-8.270
6.767	-8.400
6.772	-8.500
6.777	-8.460
6.782	-8.410
6.787	-8.290
6.792	-8.240
6.797	-8.420
6.802	-8.690
6.806	-8.600
6.809	-8.740
6.811	-8.670
6.814	-8.710
6.816	-8.650
6.819	-8.650
6.821	-8.700
6.824	-8.740
6.826	-8.540
6.829	-8.460
6.831	-8.530
6.834	-8.690
6.836	-8.700
6.839	-8.700
6.841	-8.710
6.844	-8.760
6.846	-8.620
6.848	-8.710
6.851	-8.590
6.853	-8.680
6.856	-8.640
6.858	-8.810
6.861	-8.780
6.863	-8.770
6.866	-8.640
6.868	-8.880
6.871	-8.710
6.873	-8.820
6.876	-8.700
6.878	-8.790
6.881	-8.630
6.883	-8.550
6.886	-8.570
6.888	-8.530
6.890	-8.440
6.893	-8.660
6.895	-8.560
6.898	-8.740
6.900	-8.550
6.903	-8.500
6.905	-8.440
6.908	-8.730
6.910	-8.670
6.913	-8.760
6.915	-8.570
6.918	-8.720
6.920	-8.620
6.923	-8.740
6.925	-8.550
6.927	-8.790
6.930	-8.760
6.932	-8.800
6.935	-8.660
6.937	-8.810
6.940	-8.740
6.942	-8.870
6.945	-8.790
6.947	-8.830
6.950	-8.970
6.952	-8.920
6.955	-8.900
6.957	-8.770
6.960	-8.870
6.962	-8.930
6.965	-8.910
6.967	-9.010
6.969	-8.930
6.972	-8.940
6.974	-8.900
6.977	-9.070
6.979	-9.020
6.982	-9.060
6.984	-8.980
6.987	-9.050
6.989	-9.040
6.992	-8.990
6.994	-9.000
6.997	-8.990
6.999	-9.050
7.002	-9.000
7.004	-8.970
7.007	-8.970
7.009	-9.070
7.012	-9.140
7.015	-9.080
7.018	-9.090
7.021	-9.050
7.023	-9.050
7.026	-8.880
7.032	-8.940
7.038	-8.920
7.044	-8.890
7.049	-8.910
7.055	-8.760
7.061	-8.800
7.067	-8.840
7.072	-8.860
7.078	-8.830
7.084	-8.800
7.090	-8.870
7.095	-8.960
7.101	-9.100
7.107	-8.930
7.113	-8.970
7.118	-8.970
7.124	-8.860
7.130	-8.970
7.136	-8.850
7.141	-8.720
7.147	-8.880
7.153	-8.800
7.159	-8.790
7.164	-8.730
7.170	-8.830
7.176	-8.810
7.182	-8.760
7.187	-8.730
7.193	-8.690
7.199	-8.660
7.205	-8.460
7.210	-8.570
7.216	-8.600
7.222	-8.530
7.228	-8.270
7.233	-8.200
7.239	-8.690
7.245	-8.450
7.251	-8.460
7.256	-8.420
7.262	-8.370
7.268	-8.360
7.274	-8.360
7.279	-8.540
7.285	-8.490
7.291	-8.520
7.297	-8.610
7.302	-8.670
7.308	-8.700
7.314	-8.650
7.320	-8.670
7.325	-8.540
7.331	-8.310
7.337	-8.480
7.343	-8.600
7.348	-8.690
7.354	-8.670
7.360	-8.680
7.366	-8.770
7.371	-8.730
7.377	-8.550
7.383	-8.470
7.389	-8.830
7.394	-8.830
7.400	-8.740
7.406	-8.850
7.412	-8.680
7.417	-8.810
7.423	-8.680
7.429	-8.770
7.435	-8.710
7.440	-8.710
7.446	-8.470
7.452	-8.580
7.458	-8.740
7.463	-8.600
7.469	-8.650
7.475	-8.850
7.481	-8.510
7.486	-8.710
7.492	-8.710
7.499	-8.690
7.505	-8.600
7.512	-8.570
7.519	-8.610
7.525	-8.630
7.532	-8.700
7.539	-8.570
7.545	-8.650
7.552	-8.610
7.558	-8.680
7.565	-8.730
7.572	-8.680
7.578	-8.770
7.585	-8.960
7.592	-9.090
7.598	-8.850
7.605	-8.690
7.612	-8.540
7.618	-8.650
7.625	-8.910
7.632	-8.910
7.638	-8.900
7.645	-8.880
7.652	-8.880
7.658	-8.840
7.665	-8.950
7.671	-8.900
7.678	-8.720
7.685	-8.730
7.691	-8.510
7.698	-8.560
7.705	-8.380
7.711	-8.330
7.718	-8.240
7.723	-8.550
7.728	-8.500
7.733	-8.640
7.738	-8.610
7.743	-8.640
7.747	-8.760
7.752	-8.670
7.757	-8.830
7.762	-8.820
7.767	-8.850
7.772	-8.850
7.777	-8.840
7.782	-8.840
7.787	-8.730
7.792	-8.690
7.797	-8.710
7.801	-8.780
7.806	-8.760
7.811	-8.680
7.816	-8.780
7.821	-8.700
7.826	-8.720
7.831	-8.730
7.836	-8.820
7.841	-8.900
7.846	-8.850
7.850	-8.950
7.855	-8.860
7.860	-8.850
7.865	-8.930
7.868	-8.690
7.870	-8.730
7.873	-8.630
7.875	-8.710
7.879	-8.710
7.883	-8.620
7.887	-8.570
7.891	-8.650
7.895	-8.590
7.900	-8.740
7.904	-8.720
7.908	-8.850
7.912	-8.730
7.916	-8.780
7.920	-8.600
7.924	-8.580
7.928	-8.640
7.932	-8.790
7.936	-8.640
7.940	-8.720
7.944	-8.650
7.949	-8.810
7.953	-8.780
7.957	-8.780
7.961	-8.710
7.965	-8.840
7.969	-8.730
7.973	-8.700
7.977	-8.640
7.981	-8.810
7.985	-8.650
7.989	-8.780
7.993	-8.620
7.998	-8.620
8.002	-8.570
8.006	-8.370
8.010	-7.940
8.014	-7.960
8.018	-7.970
8.022	-8.100
8.026	-8.210
8.030	-8.280
8.034	-8.270
8.038	-8.400
8.042	-8.530
8.046	-8.410
8.050	-8.390
8.054	-8.250
8.058	-8.430
8.062	-8.500
8.066	-8.490
8.070	-8.370
8.074	-8.570
8.078	-8.490
8.082	-8.410
8.086	-8.340
8.090	-8.510
8.094	-8.350
8.098	-8.470
8.102	-8.480
8.106	-8.550
8.110	-8.500
8.114	-8.570
8.118	-8.370
8.122	-8.780
8.125	-8.330
8.129	-8.660
8.133	-8.420
8.136	-8.660
8.140	-8.560
8.143	-8.690
8.147	-8.340
8.151	-8.480
8.154	-8.260
8.158	-8.640
8.162	-8.480
8.169	-8.490
8.172	-8.190
8.176	-8.380
8.179	-8.220
8.184	-8.270
8.186	-8.270
8.191	-8.130
8.194	-8.270
8.198	-8.140
8.201	-8.280
8.205	-8.480
8.208	-8.160
8.213	-8.240
8.216	-8.240
8.220	-8.200
8.223	-8.390
8.227	-8.260
8.230	-8.190
8.234	-8.450
8.237	-8.350
8.242	-8.350
8.245	-8.270
8.249	-8.300
8.251	-8.480
8.253	-8.410
8.254	-8.430
8.257	-8.480
8.258	-8.610
8.261	-8.450
8.262	-8.530
8.264	-8.460
8.266	-8.480
8.268	-8.510
8.270	-8.520
8.272	-8.640
8.276	-8.670
8.280	-8.630
8.284	-8.750
8.288	-8.780
8.291	-8.770
8.295	-8.780
8.299	-8.800
8.303	-8.880
8.307	-8.990
8.311	-8.880
8.315	-8.980
8.318	-8.880
8.322	-8.820
8.326	-8.830
8.330	-8.540
8.334	-8.580
8.338	-8.690
8.342	-8.660
8.346	-8.670
8.349	-8.460
8.353	-8.560
8.357	-8.720
8.361	-8.830
8.365	-8.880
8.369	-8.780
8.373	-8.830
8.376	-8.830
8.380	-8.790
8.384	-8.740
8.388	-8.800
8.392	-8.690
8.396	-8.540
8.400	-8.680
8.403	-8.650
8.407	-8.620
8.411	-8.600
8.415	-8.710
8.419	-8.730
8.423	-8.680
8.427	-8.870
8.430	-8.800
8.434	-8.820
8.438	-8.830
8.442	-8.710
8.447	-8.690
8.453	-8.810
8.458	-8.830
8.464	-8.670
8.469	-8.800
8.474	-8.770
8.480	-8.780
8.485	-8.710
8.491	-8.650
8.496	-8.870
8.502	-9.010
8.507	-8.970
8.512	-9.000
8.518	-9.010
8.523	-8.850
8.529	-8.810
8.534	-8.600
8.539	-8.720
8.545	-8.690
8.550	-8.810
8.556	-8.600
8.561	-8.950
8.567	-8.800
8.572	-8.900
8.577	-8.750
8.583	-8.800
8.588	-8.800
8.594	-8.790
8.599	-8.840
8.604	-8.720
8.610	-8.780
8.615	-8.650
8.621	-8.840
8.626	-8.730
8.631	-8.770
8.637	-8.650
8.642	-8.740
8.648	-8.600
8.653	-8.650
8.659	-8.460
8.664	-8.620
8.669	-8.690
8.675	-8.630
8.680	-8.590
8.686	-8.630
8.691	-8.580
8.693	-8.330
8.695	-8.840
8.698	-8.790
8.700	-8.800
8.702	-8.870
8.704	-8.790
8.706	-8.810
8.709	-8.840
8.711	-8.720
8.713	-8.670
8.715	-8.760
8.718	-8.760
8.720	-8.720
8.722	-8.690
8.724	-8.710
8.726	-8.780
8.729	-8.790
8.731	-8.710
8.733	-8.590
8.735	-8.810
8.737	-8.740
8.740	-8.850
8.742	-8.610
8.744	-8.670
8.746	-8.720
8.749	-8.740
8.751	-8.700
8.753	-8.860
8.755	-8.960
8.757	-9.010
8.760	-8.910
8.762	-9.020
8.764	-8.900
8.766	-9.010
8.768	-8.830
8.771	-8.970
8.773	-9.020
8.775	-8.920
8.777	-8.940
8.779	-8.920
8.782	-8.970
8.784	-8.930
8.786	-8.980
8.788	-8.990
8.791	-8.940
8.793	-8.920
8.795	-8.860
8.797	-8.780
8.799	-8.750
8.802	-8.800
8.804	-8.710
8.806	-8.750
8.808	-8.670
8.810	-8.660
8.813	-8.600
8.815	-8.630
8.817	-8.540
8.819	-8.590
8.822	-8.470
8.824	-8.470
8.826	-8.580
8.828	-8.630
8.830	-8.680
8.833	-8.650
8.835	-8.690
8.837	-8.570
8.839	-8.650
8.841	-8.460
8.844	-8.790
8.846	-8.630
8.848	-8.500
