% Y. Wang et al. The Holocene Asian Monsoon: Links to Solar Changes 
%     and North Atlantic Climate. Science, 2005. DOI: 10.1126/science.1106296

% NB. Age is in kilo-years before 1950.

%Age	d18O
1.294	-7.080
1.299	-7.430
1.304	-7.560
1.309	-7.360
1.314	-7.260
1.319	-7.400
1.324	-7.330
1.329	-7.280
1.334	-7.290
1.339	-7.540
1.344	-7.390
1.349	-7.220
1.354	-7.450
1.359	-7.320
1.363	-7.120
1.368	-7.370
1.373	-7.340
1.378	-7.490
1.383	-7.420
1.388	-7.290
1.393	-6.880
1.397	-6.890
1.402	-7.120
1.406	-7.010
1.411	-7.020
1.415	-7.620
1.420	-7.470
1.424	-7.160
1.428	-6.950
1.433	-7.010
1.437	-7.380
1.442	-7.280
1.446	-7.100
1.450	-6.980
1.455	-7.290
1.459	-7.220
1.464	-6.840
1.468	-6.900
1.473	-7.190
1.477	-7.250
1.481	-7.120
1.486	-7.240
1.490	-7.010
1.495	-6.900
1.499	-7.020
1.503	-6.850
1.508	-6.930
1.512	-7.310
1.517	-7.150
1.521	-7.270
1.526	-7.410
1.530	-7.300
1.534	-7.060
1.539	-7.180
1.543	-6.850
1.548	-7.020
1.552	-7.020
1.557	-7.290
1.561	-7.270
1.566	-7.300
1.570	-7.280
1.575	-7.380
1.579	-6.980
1.584	-7.220
1.588	-7.390
1.593	-7.040
1.598	-7.180
1.602	-6.940
1.607	-7.350
1.611	-7.410
1.616	-7.450
1.620	-7.380
1.625	-7.260
1.630	-7.090
1.634	-7.260
1.639	-7.370
1.643	-7.360
1.648	-7.260
1.652	-7.330
1.657	-7.090
1.661	-7.280
1.666	-7.200
1.671	-7.160
1.675	-7.220
1.680	-7.500
1.684	-7.500
1.689	-7.220
1.693	-7.380
1.698	-7.320
1.702	-7.380
1.707	-6.960
1.711	-7.160
1.715	-7.250
1.718	-7.140
1.722	-7.270
1.726	-7.230
1.730	-7.290
1.733	-7.230
1.737	-7.200
1.741	-7.200
1.745	-7.310
1.748	-7.400
1.752	-7.550
1.756	-7.180
1.760	-7.340
1.763	-7.220
1.767	-7.540
1.771	-7.570
1.775	-7.570
1.778	-7.520
1.782	-7.400
1.786	-7.540
1.790	-7.420
1.793	-7.470
1.797	-7.480
1.801	-7.550
1.805	-7.620
1.808	-7.520
1.812	-7.430
1.816	-7.290
1.820	-7.450
1.823	-7.620
1.827	-7.560
1.831	-7.060
1.835	-7.280
1.838	-7.410
1.842	-7.410
1.846	-7.320
1.850	-7.380
1.853	-7.310
1.857	-7.330
1.861	-7.430
1.865	-7.270
1.868	-7.440
1.872	-7.420
1.876	-7.140
1.880	-7.410
1.883	-7.210
1.887	-7.320
1.891	-7.300
1.895	-7.200
1.898	-6.820
1.902	-7.280
1.906	-7.420
1.910	-7.490
1.913	-7.450
1.917	-7.410
1.921	-7.380
1.925	-7.340
1.928	-7.330
1.932	-7.400
1.936	-7.400
1.940	-7.320
1.943	-7.290
1.947	-7.480
1.951	-7.400
1.955	-7.520
1.958	-7.490
1.962	-7.250
1.966	-7.530
1.970	-7.410
1.973	-7.460
1.977	-7.640
1.981	-7.670
1.985	-7.660
1.988	-7.610
1.992	-7.460
1.996	-7.300
2.000	-7.330
2.003	-7.330
2.007	-7.320
2.011	-7.320
2.015	-7.160
2.018	-7.370
2.022	-7.560
2.026	-7.420
2.030	-7.440
2.033	-7.420
2.037	-7.520
2.041	-7.480
2.045	-7.440
2.049	-7.340
2.052	-7.430
2.056	-7.450
2.060	-7.480
2.064	-7.510
2.067	-7.470
2.071	-7.400
2.075	-7.360
2.079	-7.440
2.083	-7.400
2.086	-7.350
2.090	-7.490
2.094	-7.470
2.098	-7.450
2.101	-7.260
2.105	-7.460
2.109	-7.600
2.113	-7.560
2.117	-7.640
2.120	-7.660
2.124	-7.660
2.128	-7.610
2.132	-7.290
2.135	-7.590
2.139	-7.630
2.143	-7.510
2.147	-7.490
2.151	-7.370
2.154	-7.460
2.158	-7.330
2.162	-7.440
2.166	-7.540
2.169	-7.450
2.173	-7.550
2.177	-7.630
2.181	-7.730
2.185	-7.630
2.188	-7.540
2.192	-7.450
2.196	-7.490
2.200	-7.440
2.203	-7.340
